year,age_group,CoB,population,proportion_age_by_year
2013,20-24,Non-UK born,500259,0.06747800681444792
2013,25-29,UK born,2818547,0.06209876625898594
2013,25-29,Non-UK born,822897,0.11099740209289338
2013,30-34,UK born,2621365,0.05775441474436533
2013,30-34,Non-UK born,1024717,0.13822012339384326
2013,35-39,UK born,2476806,0.054569463224439375
2013,35-39,Non-UK born,874215,0.11791948915920072
2013,40-44,UK born,3048935,0.06717471871281241
2013,40-44,Non-UK born,721446,0.09731306803926805
2013,45-49,UK born,3296467,0.072628391051652
2013,45-49,Non-UK born,605946,0.08173371856815662
2013,50-69,UK born,11038186,0.24319542386102164
2013,50-69,Non-UK born,1455430,0.196317338534543
2013,70-89,UK born,5114172,0.11267641505933754
2013,70-89,Non-UK born,606740,0.0818408181653866
2014,0-4,UK born,3318193,0.07264588850923391
2014,0-4,Non-UK born,109077,0.01429494233703573
2014,5-9,UK born,3053609,0.06685329604540581
2014,5-9,Non-UK born,209241,0.027421803217394073
2014,10-14,UK born,2716031,0.05946263077934981
2014,10-14,Non-UK born,249906,0.032751101145789226
2014,15-19,UK born,2836466,0.06209933924766663
2014,15-19,Non-UK born,309849,0.04060685193201302
2014,20-24,UK born,3033217,0.06640684975416226
2014,20-24,Non-UK born,515413,0.06754677076522637
2014,25-29,UK born,2833839,0.06204182579106125
2014,25-29,Non-UK born,840490,0.11014930814796117
2014,30-34,UK born,2654456,0.058114556515750294
2014,30-34,Non-UK born,1021689,0.1338961040492835
2014,35-39,UK born,2415781,0.052889195169999334
2014,35-39,Non-UK born,955112,0.1251709431448506
2014,40-44,UK born,2920054,0.06392934869217749
2014,40-44,Non-UK born,771801,0.10114736186974811
2014,45-49,UK born,3282759,0.07187012458789595
2014,45-49,Non-UK born,613203,0.08036251020744356
2014,50-69,UK born,11211288,0.24545105667238523
2014,50-69,Non-UK born,1488046,0.1950139054507978
2014,70-89,UK born,5400574,0.11823588823491202
2014,70-89,Non-UK born,546634,0.0716383977324568
2015,0-4,UK born,3320014,0.07258244472864675
2015,0-4,Non-UK born,103316,0.012994005446575554
2015,5-9,UK born,3114809,0.06809623455888784
